time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1676794778.50703549,0.00000000,0.00000091,-nan,1485.00000000,0.01541851,0.000000,0.000000
1676794778.60705853,0.00000000,0.00000098,-nan,1485.00000000,0.00396044,0.000000,0.000000
1676794778.70692039,0.00000000,0.00000140,-nan,1485.00000000,0.00212744,0.000000,0.000000
1676794778.80679440,0.00000000,0.00000091,-nan,1485.00000000,0.00678908,0.000000,0.000000
1676794778.90705085,0.00000000,0.00000098,-nan,1485.00000000,0.00299734,0.000000,0.000000
1676794779.00810313,0.00000000,0.00000098,0.00000466,1485.00000000,0.02347025,0.000000,0.000000
1676794779.10806274,0.00000000,0.00000098,0.00000486,1485.00000000,0.01997897,0.000000,0.000000
1676794779.20686054,0.00000000,0.00000098,0.00000515,1485.00000000,0.01876054,0.000000,0.000000
1676794779.30681825,0.00000000,0.00000098,0.00000488,1485.00000000,0.01742539,0.000000,0.000000
1676794779.40789318,0.00000000,0.00000147,0.00000469,1485.00000000,0.02008089,0.000000,0.000000
1676794779.50804782,0.00000000,0.00000091,0.00000429,1485.00000000,0.04443104,0.000000,0.000000
1676794779.60682750,0.00000000,0.00000098,0.00000504,1485.00000000,0.02659054,0.000000,0.000000
1676794779.70780969,0.00000000,0.00000098,0.00000497,1485.00000000,0.04302643,0.000000,0.000000
1676794779.80693436,0.00000000,0.00000098,0.00000458,1485.00000000,0.01437337,0.000000,0.000000
1676794779.90682292,0.00000000,0.00000098,0.00000438,1485.00000000,0.01452744,0.000000,0.000000
1676794780.00842118,0.00000000,0.00000098,0.00000482,1485.00000000,0.01676292,0.000000,0.000000
1676794780.10749030,0.00000000,0.00000098,0.00000500,1485.00000000,0.01925315,0.000000,0.000000
1676794780.20730710,0.00000000,0.00000098,0.00000528,1485.00000000,0.04078473,0.000000,0.000000
1676794780.30808878,0.00000000,0.00000091,0.00000459,1485.00000000,0.02008940,0.000000,0.000000
1676794780.40794063,0.00000000,0.00000147,0.00000448,1485.00000000,0.01643069,0.000000,0.000000
1676794780.50734854,0.00000000,0.00000098,0.00000444,1485.00000000,0.01233765,0.000000,0.000000
1676794780.60739684,0.00000000,0.00000140,0.00000433,1485.00000000,0.02586537,0.000000,0.000000
1676794780.70684099,0.00000000,0.00000091,0.00000513,1485.00000000,0.02219313,0.000000,0.000000
1676794780.80700874,0.00000000,0.00000098,0.00000473,1485.00000000,0.01831309,0.000000,0.000000
1676794780.90684152,0.00000000,0.00000098,0.00000482,1485.00000000,0.01648816,0.000000,0.000000
1676794781.00706911,0.00000000,0.00000147,0.00000428,1485.00000000,0.04684092,0.000000,0.000000
1676794781.10685372,0.00000000,0.00000091,0.00000457,1485.00000000,0.01525841,0.000000,0.000000
1676794781.20709085,0.00000000,0.00000147,0.00000425,1485.00000000,0.01596232,0.000000,0.000000
1676794781.30697346,0.00000000,0.00000091,0.00000461,1485.00000000,0.01380982,0.000000,0.000000
1676794781.40773129,0.00000000,0.00000091,0.00000466,1485.00000000,0.01030416,0.000000,0.000000
1676794781.50748229,0.00000000,0.00000091,0.00000451,1485.00000000,0.01890809,0.000000,0.000000
1676794781.60709429,0.00000000,0.00000098,0.00000528,1485.00000000,0.02046328,0.000000,0.000000
1676794781.70807314,0.00000000,0.00000098,0.00000505,1485.00000000,0.01847099,0.000000,0.000000
1676794781.80790401,0.00000000,0.00000091,0.00000411,1485.00000000,0.01675579,0.000000,0.000000
1676794781.90776825,0.00000000,0.00000098,0.00000431,1485.00000000,0.01206503,0.000000,0.000000
